# ,Skx,Sky,RMSx,RMSy,Kx,Ky,CFx,CFy,P2Px,P2Py,filename
22249.0,-0.5857997175249259,-0.30110471124233806,7.077005122595262,2.4656989629878523,-0.7683967253362947,-1.0003370298525374,2.2569108999235437,2.0902592235974398,31.986330000000002,11.07227,_20_07_06_08_36_10_1400.txt
22250.0,-0.5850188256423633,-0.19938382965787768,7.157011478397937,2.523272052604223,-0.7722854717031069,-0.9470434473396638,2.231681484402942,2.1037129129700705,31.9961,11.10156,_20_07_06_08_37_02_1400.txt
22251.0,-0.584347878859067,-0.33588334235576306,7.0687207998949155,2.5149242775430674,-0.8065971775455867,-0.9877649914621842,2.2595559298702876,2.1378774891992456,31.99805,11.30273,_20_07_06_08_38_20_1400.txt
22252.0,-0.5816883587388947,-0.21883381207429056,7.312890351544419,2.5737697559494053,-0.7917678983508378,-0.9390446309439473,2.18411178510653,2.1140391394462243,31.99414,11.375,_20_07_06_08_39_13_1400.txt
22253.0,-0.5891776010811731,-0.2521652648260031,7.181375709349016,2.595501242240575,-0.7499765820561621,-1.0295382224122762,2.2241100655974257,2.0098044705603306,31.99024,11.160160000000001,_20_07_06_08_40_04_1400.txt
22254.0,-0.5638851671385522,-0.24289154087726675,7.457805802174621,2.656437745296684,-0.7930716656856727,-1.0625636444951285,2.1416714813548343,1.9967868659416241,31.98438,11.85743,_20_07_06_08_41_23_1400.txt
22255.0,-0.5927490696680177,-0.23038423450278492,7.439061601123247,2.726445952429041,-0.8093921346232187,-1.031751370086868,2.147067850276749,2.045087303136304,31.99805,11.94336,_20_07_06_08_42_15_1400.txt
22256.0,-0.5602244894550846,-0.3440081985948254,7.5617947118436994,2.7046650065341273,-0.7748556037232457,-1.0607295754691641,2.112219467553583,1.889690585581771,31.99414,11.45703,_20_07_06_08_43_07_1400.txt
22257.0,-0.5769214478102576,-0.28135596020125125,7.509073826316101,2.7096781247757065,-0.8080403382169599,-1.0237139282853422,2.1270492699145342,2.0253069727439543,31.9961,11.46094,_20_07_06_08_44_25_1400.txt
22258.0,-0.5755111479505606,-0.3584772513944184,7.3652385804610185,2.6614795752408287,-0.8249482336775409,-1.0319383025405504,2.1685882711759,2.0230889803138097,31.99805,11.5957,_20_07_06_08_45_17_1400.txt
22259.0,-0.5501467394268792,-0.3699188177933371,7.39770565404233,2.6521768804227746,-0.7582227223801374,-1.0541307257180377,2.159070764227058,1.966855996108549,31.99024,11.55274,_20_07_06_08_46_10_1400.txt
22260.0,-0.5619171187210528,-0.3578777019193198,7.286006612164657,2.6657613858335822,-0.8103856375238068,-1.0304646637771562,2.192170670464805,2.045483151259212,31.99414,11.97265,_20_07_06_08_47_02_1400.txt
22261.0,-0.524521591513233,-0.38533881637282014,7.346337190760365,2.6388523502694783,-0.735702130636886,-1.0684571907045732,2.1741678315676167,1.952360085426485,31.99219,11.5,_20_07_06_08_48_21_1400.txt
22262.0,-0.599462986815363,-0.3885986987623785,7.268085525187593,2.6239846306046077,-0.8163495193904513,-1.0403398132383501,2.19757595650854,1.9031323361255172,31.99805,11.43945,_20_07_06_08_49_13_1400.txt
